,sold_price,longitude,latitude,sqrt_ft,garage,fireplaces,HOA
217,1100000.0,-110.992897,32.461571,5164.0,3.0,4.0,153.0
287,910000.0,-110.742582,31.631884,3440.0,7.0,3.0,130.0
313,1000000.0,-110.99217,32.458323,4162.0,3.0,3.0,166.0
367,1050000.0,-111.027725,32.359005,6428.0,3.0,4.0,0.0
384,1100000.0,-110.810603,32.276485,3404.0,2.0,2.0,700.0
385,1000000.0,-111.031723,32.44019,6520.0,4.0,3.0,50.0
392,1010000.0,-110.86124,32.332306,7002.0,3.0,1.0,421.0
393,1100000.0,-110.912045,32.29347,5571.0,3.0,4.0,194.0
397,1100000.0,-110.991913,32.400682,6327.0,3.0,4.0,51.0
400,1100000.0,-110.866891,32.321968,3870.0,3.0,2.0,58.0
425,1000000.0,-111.027855,32.356862,6097.0,4.0,1.0,53.0
430,1100000.0,-110.923316,32.341935,4197.0,3.0,4.0,242.0
437,900000.0,-110.876201,32.333403,5299.0,3.0,3.0,145.0
439,1090000.0,-110.924917,32.340483,4531.0,3.0,2.0,270.0
440,1060000.0,-110.975759,32.403148,5428.0,3.0,2.0,138.0
441,1026000.0,-110.979521,32.425905,4036.0,3.0,2.0,84.0
442,1100000.0,-110.899343,32.332842,6388.0,3.0,2.0,8.0
444,1075000.0,-110.878835,32.323796,3840.0,3.0,1.0,215.0
446,1100000.0,-110.81068,32.253856,6712.0,4.0,2.0,0.0
453,1100000.0,-111.102084,32.305673,4185.0,3.0,2.0,
457,1100000.0,-110.945324,32.384379,5420.0,3.0,2.0,63.98
458,1100000.0,-110.918693,32.310359,6242.0,2.0,2.0,4.0
461,1090000.0,-110.939505,32.340569,4300.0,3.0,3.0,159.0
470,1065000.0,-110.993613,32.46837,6385.0,3.0,4.0,153.0
475,1100000.0,-110.93742,32.338307,4561.0,3.0,2.0,175.0
476,1100000.0,-110.917571,32.301257,4850.0,3.0,4.0,125.0
477,1075000.0,-110.928069,32.318568,4022.0,3.0,4.0,4.0
480,1000000.0,-111.040904,32.224596,4661.0,3.0,3.0,125.0
482,1015000.0,-110.717757,32.246043,5474.0,3.0,3.0,0.0
484,950000.0,-111.0734,31.61953,6614.0,4.0,3.0,0.0
485,1100000.0,-110.921615,32.31207,4678.0,3.0,4.0,186.0
486,1100000.0,-111.024212,32.397247,5264.0,3.0,2.0,0.0
487,1050000.0,-110.921177,32.296442,4197.0,3.0,3.0,1600.0
490,950000.0,-111.073405,31.619537,,4.0,3.0,
491,1075000.0,-110.83704,32.317724,4589.0,3.0,0.0,117.0
494,1034000.0,-110.941977,32.338045,4019.0,3.0,2.0,158.0
495,1100000.0,-110.861293,32.326569,4877.0,3.0,3.0,40.0
500,1099000.0,-111.064375,32.464467,4049.0,3.0,4.0,148.0
502,1100000.0,-110.852358,32.323689,3041.0,3.0,3.0,107.0
504,1050000.0,-110.940565,32.343649,3829.0,3.0,2.0,169.0
505,1100000.0,-110.931907,32.34593,4852.0,3.0,3.0,84.0
508,1050000.0,-111.02733,32.399434,5469.0,3.0,2.0,0.0
509,1050000.0,-111.06979,32.459265,4320.0,3.0,1.0,143.0
515,1070000.0,-110.823116,32.285494,5971.0,3.0,2.0,125.0
516,1075000.0,-110.920316,32.337736,4627.0,3.0,2.0,323.0
517,1060000.0,-110.849721,32.322255,4160.0,4.0,4.0,142.0
518,1032000.0,-111.054938,32.477745,4397.0,4.0,3.0,138.0
519,1035000.0,-110.897762,32.333109,4023.0,3.0,3.0,0.0
520,1075000.0,-110.951181,32.344265,4614.0,3.0,2.0,159.0
521,1035000.0,-110.908822,32.302371,4719.0,3.0,2.0,193.0
522,1100000.0,-110.915556,32.335375,3711.0,3.0,3.0,52.0
523,1013000.0,-111.026598,32.413654,3939.0,3.0,3.0,120.0
524,1050000.0,-110.925284,32.294634,4779.0,3.0,3.0,145.0
525,1100000.0,-110.996431,32.457233,3668.0,6.0,2.0,42.0
526,1100000.0,-110.936325,32.339695,4553.0,3.0,2.0,160.0
528,1100000.0,-110.946836,32.340916,3972.0,4.0,2.0,153.0
529,1015000.0,-110.735178,32.258733,5367.0,4.0,3.0,125.0
530,1100000.0,-111.028005,32.369437,5102.0,4.0,3.0,150.0
531,1090600.0,-110.910635,32.294131,4446.0,3.0,3.0,194.0
534,1017500.0,-110.895897,32.33308,4229.0,4.0,1.0,0.0
535,1100000.0,-110.888252,32.326819,6167.0,3.0,2.0,258.0
536,1060000.0,-110.825952,32.318299,5712.0,6.0,3.0,
537,1090000.0,-110.717421,32.267699,4136.0,3.0,3.0,55.0
540,1060000.0,-110.93866,32.348912,4125.0,4.0,3.0,175.0
541,1100000.0,-111.100441,32.469199,2308.0,2.0,1.0,
542,1100000.0,-110.938483,32.239387,3752.0,2.0,1.0,
543,1045000.0,-110.989458,32.400046,5771.0,3.0,2.0,45.0
544,1100000.0,-111.05176,32.479892,3620.0,3.0,3.0,143.0
547,1020000.0,-110.898425,32.333345,3775.0,2.0,1.0,0.0
550,1000000.0,-110.91725,32.299084,4561.0,3.0,5.0,22.0
551,1070000.0,-110.93858,32.349489,4551.0,3.0,2.0,
552,1032000.0,-110.86998,32.321889,4319.0,3.0,4.0,35.0
553,1089500.0,-110.880486,32.335543,4496.0,5.0,5.0,259.0
555,1050000.0,-110.915515,32.288808,3389.0,3.0,5.0,194.0
556,1075000.0,-110.85261,32.251879,6399.0,2.0,3.0,48.0
557,1075000.0,-110.941999,32.397863,4468.0,3.0,1.0,96.0
558,1065000.0,-110.888839,32.329807,5810.0,3.0,2.0,258.0
559,1090000.0,-110.990862,32.460423,4117.0,3.0,1.0,194.0
560,1100000.0,-110.8575,32.543025,3700.0,4.0,1.0,165.0
561,950000.0,-110.877569,32.328378,4387.0,2.0,1.0,145.0
565,995000.0,-110.841341,32.318579,4383.0,4.0,3.0,
566,1050000.0,-110.946865,32.388981,5228.0,3.0,4.0,93.0
567,1000000.0,-111.101977,32.465632,3404.0,3.0,2.0,
568,1090000.0,-111.002799,32.455775,5671.0,3.0,2.0,42.0
569,1025000.0,-110.978571,32.460133,3078.0,3.0,1.0,167.0
570,1025000.0,-111.063313,32.462699,3479.0,3.0,3.0,139.0
571,1075000.0,-110.824905,32.288652,4131.0,3.0,1.0,110.0
572,1000000.0,-110.610287,32.129735,8335.0,0.0,5.0,122.0
573,1055000.0,-110.960808,32.471811,4279.0,3.0,2.0,200.0
574,966770.5,-110.985288,32.46519,2888.0,3.0,0.0,167.0
